"DATE","NDVI","site.name"
2013-01-01,0.4943,"Bartlett_Experimental_Forest"
2013-01-17,0.4964,"Bartlett_Experimental_Forest"
2013-02-02,0.4788,"Bartlett_Experimental_Forest"
2013-02-18,0.2768,"Bartlett_Experimental_Forest"
2013-03-06,0.3852,"Bartlett_Experimental_Forest"
2013-03-22,0.3816,"Bartlett_Experimental_Forest"
2013-04-07,0.4977,"Bartlett_Experimental_Forest"
2013-04-23,0.5826,"Bartlett_Experimental_Forest"
2013-05-09,0.7914,"Bartlett_Experimental_Forest"
2013-05-25,0.7912,"Bartlett_Experimental_Forest"
2013-06-10,0.8713,"Bartlett_Experimental_Forest"
2013-06-26,0.921,"Bartlett_Experimental_Forest"
2013-07-12,0.898,"Bartlett_Experimental_Forest"
2013-07-28,0.8801,"Bartlett_Experimental_Forest"
2013-08-13,0.8755,"Bartlett_Experimental_Forest"
2013-08-29,0.8761,"Bartlett_Experimental_Forest"
2013-09-14,0.8365,"Bartlett_Experimental_Forest"
2013-09-30,0.7179,"Bartlett_Experimental_Forest"
2013-10-16,0.6256,"Bartlett_Experimental_Forest"
2013-11-01,0.6763,"Bartlett_Experimental_Forest"
2013-11-17,0.5324,"Bartlett_Experimental_Forest"
2013-12-03,0.6161,"Bartlett_Experimental_Forest"
2013-12-19,0.5239,"Bartlett_Experimental_Forest"
2014-01-17,0.5959,"Bartlett_Experimental_Forest"
2000-02-18,0.4482,"Chestnut_Ridge"
2000-03-05,0.4405,"Chestnut_Ridge"
2000-04-06,0.7094,"Chestnut_Ridge"
2000-04-22,0.842,"Chestnut_Ridge"
2000-05-08,0.9168,"Chestnut_Ridge"
2000-05-24,0.9243,"Chestnut_Ridge"
2000-06-09,0.8949,"Chestnut_Ridge"
2000-06-25,0.9239,"Chestnut_Ridge"
2000-07-11,0.942,"Chestnut_Ridge"
2000-07-27,0.929,"Chestnut_Ridge"
2000-08-12,0.8981,"Chestnut_Ridge"
2000-08-28,0.8635,"Chestnut_Ridge"
2000-09-13,0.8952,"Chestnut_Ridge"
2000-09-29,0.8721,"Chestnut_Ridge"
2000-10-15,0.7379,"Chestnut_Ridge"
2000-10-31,0.5866,"Chestnut_Ridge"
2000-11-16,0.4933,"Chestnut_Ridge"
2000-12-02,0.4928,"Chestnut_Ridge"
2000-12-18,0.4726,"Chestnut_Ridge"
2001-01-01,0.4672,"Chestnut_Ridge"
2001-01-17,0.4613,"Chestnut_Ridge"
2001-02-02,0.4298,"Chestnut_Ridge"
2001-02-18,0.4292,"Chestnut_Ridge"
2001-03-06,0.4171,"Chestnut_Ridge"
2001-03-22,0.4106,"Chestnut_Ridge"
2001-04-07,0.7866,"Chestnut_Ridge"
2001-04-23,0.8476,"Chestnut_Ridge"
2001-05-09,0.9006,"Chestnut_Ridge"
2001-05-25,0.8726,"Chestnut_Ridge"
